Time (s),Frame Time (ms),Triangle Count
0.0030155,2.807,1728
0.0058225,1.5288,2357994
0.0073513,1.0771,2357994
0.0084284,1.0482,2357994
0.0094766,1.0328,2357994
0.0105094,1.0507,2357994
0.0115601,1.0399,2357994
0.0126,1.0483,2357994
0.0136483,1.2601,2357994
0.0149084,1.0598,2357994
0.0159682,1.1081,2357994
0.0170763,1.0618,2357994
0.0181381,1.0535,2357994
0.0191916,1.0362,2357994
0.0202278,1.0536,2357994
0.0212814,1.0338,2357994
0.0223152,1.0415,2357994
0.0233567,1.0627,2357994
0.0244194,1.0441,2357994
0.0254635,1.0386,2456170
0.0265021,1.0331,2456170
0.0275352,1.1033,2456170
0.0286385,1.1182,2456170
0.0297567,7.9511,2456170
0.0377078,1.3473,2456170
0.0390551,1.3441,2456170
0.0403992,1.0661,2456170
0.0414653,1.063,2456170
0.0425283,1.0435,2456170
0.0435718,1.0819,2456170
0.0446537,1.1836,2456170
0.0458373,1.1574,2456170
0.0469947,1.0465,2456170
0.0480412,1.056,2456170
0.0490972,1.0917,2456170
0.0501889,1.0479,2456170
0.0512368,1.0403,2456170
0.0522771,1.0872,2456170
0.0533643,1.1977,2456170
0.054562,1.0355,2456170
0.0555975,1.0345,2456170
0.056632,1.0731,2456170
0.0577051,1.06,2456170
0.0587651,1.0684,2456170
0.0598335,1.0662,2456170
0.0608997,1.1842,2456170
0.0620839,1.0856,2456170
0.06316949,1.0474,2456170
0.0642169,1.0833,2456170
0.0653002,1.0681,2456170
0.0663683,1.0473,2456170
0.0674156,1.0332,2456170
0.0684488,1.0953,2456170
0.0695441,1.0683,2456170
0.0706124,1.0387,2456170
0.0716511,1.3274,2456170
0.0729785,2.2848,2456170
0.07526331,1.2971,2456170
0.07656041,1.142,2456170
0.07770241,1.092,2456170
0.07879441,1.042,2456170
0.07983641,1.1044,2456170
0.08094081,1.0422,2456170
0.08198301,1.0481,2456170
0.08303112,1.047,2456170
0.08407812,1.0451,2456170
0.08512322,1.0304,2456170
0.08615362,1.1246,2456170
0.08727822,1.0483,2456170
0.08832651,1.0543,2456170
0.08938082,1.0473,2456170
0.09042811,1.0788,2456170
0.09150691,1.0382,2456170
0.09254511,1.0888,2456170
0.09363391,1.1829,2456170
0.09481681,1.0475,2456170
0.09586431,1.0318,2456170
0.09689611,1.0592,2456170
