Time (s),Frame Time (ms),Triangle Count
0.0038662,25.4326,9985850
0.0292988,2.6658,9859048
0.0319646,1.711,9859048
0.0336756,1.8024,9859048
0.035478,1.586,9859048
0.037064,1.5626,9859048
0.0386266,1.5431,9859048
0.0401697,3.4477,9859048
0.0436174,2.9049,9859048
0.0465223,3.4687,9895288
0.049991,2.9117,9895288
0.0529027,3.5317,9895288
0.0564344,10.264,9859048
0.0666984,3.3683,9859048
0.07006671,1.6805,9895288
0.07174721,1.5368,9895288
0.07328401,2.2687,9895288
0.07555271,1.6965,9895288
0.07724921,2.2999,9895288
0.0795491,3.2493,9895288
0.08279841,3.2054,9895288
0.08600381,2.9659,9895288
0.08896971,3.4622,9931528
0.09243191,2.961,9931528
0.09539291,3.4215,9931528
0.09881441,3.4501,9931528
0.1022645,3.8152,9931528
0.1060797,2.93,9967768
0.1090097,3.3116,9967768
0.1123213,2.7963,9967768
0.1151176,3.5913,9967768
0.1187089,2.7237,9967768
0.1214326,3.3436,9967768
0.1247762,2.977,9967768
0.1277532,3.4892,9967768
0.1312424,3.7065,9949648
0.1349489,3.1613,9949648
0.1381102,3.1376,9949648
0.1412478,2.7601,9949648
0.1440079,3.3875,9949648
0.1473954,2.8168,9949648
0.1502122,3.5415,9949648
0.1537537,2.7919,9949648
0.1565456,2.9217,9949648
0.1594673,3.6264,9949648
0.1630937,3.1382,9949648
0.1662319,3.7488,9949648
0.1699807,2.8681,9949648
0.1728488,3.298,9949648
0.1761468,2.9576,9949648
0.1791044,3.3365,9949648
0.1824409,2.7972,9949648
0.1852381,3.4762,9967768
0.1887143,2.778,9967768
0.1914923,3.2681,9967768
0.1947604,3.3076,9967768
0.198068,3.125,9967768
0.201193,3.755,9967768
0.204948,2.8476,9967768
0.2077956,10.1624,9967768
0.217958,1.6185,9931528
0.2195765,1.5873,9931528
0.2211638,1.556,9931528
0.2227198,1.4986,9931528
0.2242184,2.4039,9931528
0.2266223,3.7307,9931528
0.230353,3.3053,9949648
0.2336583,3.0133,9949650
0.2366716,4.1382,9949650
0.2408098,3.4295,9949650
0.2442393,2.5211,9949650
0.2467604,3.5657,9949650
0.2503261,2.7803,9931530
0.2531064,2.9676,9931530
0.256074,3.1941,9931530
0.2592681,2.8188,9931530
0.2620869,3.5861,9931530
0.265673,3.4003,9931530
0.2690733,3.6239,9931530
0.2726972,2.5852,9931530
0.2752824,3.3253,9931530
0.2786077,3.0919,9931530
0.2816996,2.8781,9931530
0.2845777,3.2055,9931530
0.2877832,2.9859,9931530
0.2907691,3.4222,9931530
0.2941913,3.4133,9931530
0.2976046,3.6672,9913410
0.3012718,2.8552,9931530
0.304127,3.3755,9931530
0.3075025,2.9542,9931530
0.3104567,6.47,9913410
0.3169267,13.1506,9913410
0.3300773,2.4428,9913410
0.3325201,2.1771,9913410
0.3346972,1.9089,9913410
0.3366061,1.7602,9913410
0.3383663,1.7222,9913410
0.3400885,1.9687,9913410
0.3420572,2.6481,9877170
0.3447053,2.8271,9877170
0.3475324,3.4176,9877170
0.35095,2.8365,9877170
0.3537865,3.3297,9877170
0.3571162,2.8925,9877170
0.3600087,12.8817,9877170
0.3728904,3.9021,9895290
0.3767925,1.6933,9895290
0.3784858,2.1687,9859050
0.3806545,1.9361,9859050
0.3825906,1.5421,9859050
0.3841327,1.5845,9859050
0.3857172,1.9133,9840930
0.3876305,1.7202,9840930
0.3893507,3.7942,9840930
0.3931449,7.5593,9840930
0.4007042,8.9189,9840930
0.4096231,1.8532,9840930
0.4114763,1.6554,9840930
0.4131317,1.7,9840930
0.4148317,1.9142,9840930
0.4167459,1.6052,9840930
0.4183511,1.8656,9840930
0.4202167,3.3163,9840930
0.4235331,3.1025,9840930
0.4266356,3.1822,9840930
0.4298178,3.1465,9840930
0.4329643,3.6728,9804690
0.4366371,3.8167,9804690
0.4404538,2.7077,9804690
0.4431615,3.5022,9804690
0.4466636,2.4143,9804690
0.4490779,3.8495,9804690
0.4529274,2.9073,9804690
0.4558347,2.7628,9804690
0.4585975,3.1805,9804690
0.461778,3.9767,9804690
0.4657547,2.9388,9822810
0.4686936,3.2385,9822810
0.4719321,3.3423,9822810
0.4752744,2.8737,9822810
0.478148,14.0927,9822810
0.4922408,12.1916,9840930
0.5044324,1.9796,9859050
0.506412,1.5553,9859050
0.5079673,1.6499,9859050
0.5096172,1.7411,9859050
0.5113583,13.1282,9822810
0.5244865,2.133,9822810
0.5266196,1.871,9822810
0.5284905,1.5592,9822810
0.5300497,5.5257,9822810
0.5355754,1.9197,9822810
0.5374951,1.6766,9822810
0.5391718,1.6576,9822810
0.5408294,1.7592,9822810
0.5425885,3.5384,9840930
0.546127,6.3178,9840930
0.5524448,2.1966,9786570
0.5546414,1.845,9786570
0.5564864,1.703,9786570
0.5581894,3.1791,9786570
0.5613685,3.5184,9804690
0.5648869,10.337,9804690
0.5752239,11.0179,9804690
0.5862418,1.9547,9804690
0.5881965,2.0837,9804690
0.5902802,1.6723,9804690
0.5919525,1.722,9804690
0.5936745,1.9755,9804690
0.59565,2.246,9804690
0.597896,6.1705,9840930
0.6040665,2.063,9822810
0.6061295,2.0841,9822810
0.6082135,1.864,9822810
0.6100776,3.308,9822810
0.6133856,2.8835,9822810
0.6162691,7.6937,9768450
0.6239628,1.8961,9768450
0.6258588,1.9575,9768450
0.6278163,1.7102,9768450
0.6295265,2.2709,9768450
0.6317974,8.317801,9768450
0.6401152,1.9348,9768450
0.64205,2.6815,9768450
0.6447315,1.953,9804690
0.6466845,1.6673,9804690
0.6483518,2.2909,9804690
0.6506428,13.8718,9804690
0.6645145,16.0624,9804690
0.6805769,1.7698,9804690
0.6823467,1.9002,9822810
0.6842469,6.0736,9822810
0.6903205,2.4653,9822810
0.6927858,1.7412,9822810
0.694527,1.6195,9822810
