Time (s),Frame Time (ms),Triangle Count,1124.577,17973.73125,37837.4609375
0.1,0,3537324
0.2,0,3537323
0.3,0,3537323
0.4,0,3537323
0.5,0,3537323
0.6,0,3537324
0.7,0,3537323
0.8,0,3537327
0.9,0,1332329
1,0,1332336
1.1,12.28821,1332346
1.2,12.4762,1332333
1.3,12.49762,1332327
1.4,12.5069,1332334
1.5,12.50797,1332327
1.6,12.6823,1332330
1.7,12.68757,1434500
1.8,12.69032,1434497
1.9,12.69096,1434498
2,12.69559,1434498
2.1,12.80551,1475679
2.2,12.8065,54.3171
2.3,12.81176,100.7416
2.4,12.81778,37.1026
2.5,13.23754,3982371
2.6,13.27491,52.9692
2.7,13.69248,5756954
2.8,13.76695,6279230
2.9,14.15819,6984915
3,14.47668,7741675
3.1,14.63306,104.7763
3.2,14.65605,87.9207
3.3,14.77513,85.83051
3.4,15.04355,1.041259E+07
3.5,15.06769,1.15474E+07
3.6,15.07334,9.9449
3.7,15.10964,1.4995
3.8,15.15976,1.187825E+07
3.9,15.17825,1.194923E+07
4,15.2753,1.304078E+07
4.1,15.30188,2.8692
4.2,15.31369,1.316106E+07
4.3,15.373,1.316106E+07
4.4,15.45686,1.304038E+07
4.5,15.93312,1.29064E+07
4.6,16.01288,1.283888E+07
4.7,16.14759,1.283888E+07
4.8,16.29164,1.273903E+07
4.9,16.29646,1.201693E+07
5,16.31721,1.201693E+07
5.1,16.40711,1.174341E+07
5.2,16.40851,1.154302E+07
5.3,16.42972,1.140294E+07
5.4,16.53219,1.128412E+07
5.5,16.61731,1.088937E+07
5.6,16.65576,1.088937E+07
5.7,16.74417,1.082457E+07
5.8,16.89779,1.046258E+07
5.9,16.91532,1.015691E+07
6,16.95944,1.001683E+07
6.1,17.0579,9977062
6.2,17.0686,9859642
6.3,17.15017,1.023637E+07
6.4,17.18216,9910490
6.5,17.20599,9141083
6.6,17.25653,8570697
6.7,17.63279,8169935
6.8,17.71123,7955667
6.9,17.82866,7119858
7,17.8372,7119859
7.1,17.88362,7542539
7.2,17.95421,7414602
7.3,17.96896,7414603
7.4,18.0903,7442587
7.5,18.38783,7442587
7.6,18.40545,7442587
7.7,18.50341,7442587
7.8,18.52728,6601711
7.9,18.53189,6601721
8,18.55884,6061901
8.1,18.65206,5226098
8.2,18.72003,5552045
8.3,18.86954,3560427
8.4,18.91475,6840421
8.5,19.20387,6840423
8.6,19.25551,6742400
8.7,19.2801,6448335
8.8,19.44775,6030430
8.9,19.45982,6029306
9,19.47681,5623390
9.1,19.49611,5539812
9.2,19.50376,5539813
9.3,19.57629,5539813
9.4,19.75523,5649470
9.5,19.81253,5649470
9.6,19.96126,5649470
9.7,19.99726,4733411
9.8,20.05572,4853944
9.9,20.17868,4605604
10,20.18671,4605605
10.1,20.51454,4605604
10.2,20.52506,4339871
10.3,20.71449,4237702
10.4,20.8379,4278364
