Time (s),Frame Time (ms),Triangle Count
0.002057,2.945,1728
0.005002,1.7984,1728
0.0068004,13.3763,319148
0.0201767,1.4271,319148
0.0216038,1.1656,319148
0.0227694,1.1394,319148
0.0239088,1.34,319148
0.0252488,1.4213,319148
0.0266701,1.2319,319148
0.027902,1.1753,319148
0.0290773,1.2736,319146
0.0303509,1.1503,319146
0.0315012,1.4572,319146
0.0329584,1.1946,319146
0.034153,1.1596,319146
0.0353126,1.1678,319146
0.0364804,1.3488,319146
0.0378292,1.1533,319146
0.0389825,1.2099,319146
0.0401924,1.2009,319146
0.0413933,1.1469,319146
0.0425402,1.1339,319146
0.0436741,1.1655,319146
0.04483961,1.1732,319146
0.0460128,1.2986,319146
0.0473114,1.1862,319146
0.0484976,1.1371,319146
0.0496347,1.201,319146
0.0508357,1.1745,319146
0.0520102,1.1422,319146
0.0531524,1.1737,319146
0.0543261,1.1402,319146
0.0554663,1.1823,319146
0.0566486,1.3145,319146
0.0579631,1.1333,319146
0.0590964,1.177,319146
0.0602734,1.1578,319146
0.0614312,1.608,319146
0.06303921,2.558,319146
0.06559721,1.4214,319146
0.06701861,1.2855,319146
0.06830411,1.1689,319146
0.06947301,1.1625,319146
0.07063551,1.1682,319146
0.0718037,1.1565,319146
0.07296021,1.1808,319146
0.074141,1.1631,319146
0.07530411,1.1767,319146
0.07648081,1.3308,319146
0.07781161,1.1372,319146
0.0789488,1.1322,319146
0.080081,1.2241,319146
0.0813051,1.1998,319146
0.0825049,1.1485,319146
0.0836534,1.171,319146
0.0848244,1.1351,319146
0.0859595,1.1364,319146
0.0870959,1.1379,319146
0.0882338,1.1611,319146
0.0893949,1.1589,319146
0.0905538,1.1299,319146
0.0916837,1.1371,319146
0.0928208,1.1517,319146
0.0939725,1.2636,319146
0.09523611,1.1772,319146
0.09641331,1.3624,319146
0.09777571,1.1482,319146
0.09892391,1.1433,319146
0.1000672,1.1513,319146
0.1012185,1.2252,319146
0.1024437,1.1914,319146
0.1036351,1.1571,319146
0.1047922,1.1576,319146
0.1059498,1.1437,319146
0.1070935,1.1269,319146
0.1082204,1.1742,319146
0.1093946,1.1622,319146
0.1105568,1.1292,319146
0.111686,1.1505,319146
0.1128365,1.139,319146
0.1139755,1.1939,319146
0.1151694,1.1683,319146
0.1163377,1.1688,319146
0.1175065,1.2944,319146
0.1188009,1.1285,319146
0.1199294,1.1785,319146
0.1211079,1.1766,319146
0.1222845,1.2317,319146
0.1235162,1.1703,319146
0.1246865,1.1958,319146
0.1258823,1.1588,319146
0.1270411,1.1362,319146
0.1281773,1.3216,319146
0.1294989,1.3459,319146
0.1308448,8.1923,319146
0.1390371,1.3944,319146
0.1404315,1.1609,319146
0.1415924,1.1438,319146
0.1427362,1.1735,319146
0.1439097,1.1509,319146
0.1450606,1.1328,319146
0.1461934,1.1264,319146
0.1473198,1.1236,319146
0.1484434,1.1586,319146
0.149602,1.2538,319146
0.1508558,1.1552,319146
0.152011,1.14,319146
0.153151,1.1716,319146
0.1543226,1.1367,319146
0.1554593,1.1474,319146
0.1566067,1.4445,319146
0.1580513,1.2507,319146
0.159302,1.1572,319146
0.1604591,1.1329,319146
0.1615921,1.1393,319146
0.1627313,1.1425,319146
0.1638739,1.2488,319146
0.1651227,1.173,321024
0.1662957,1.1403,321024
0.167436,1.5143,321024
0.1689503,1.4146,321024
0.1703649,1.5412,321024
0.1719061,1.2088,321024
0.1731149,1.1561,321024
0.174271,1.2163,321024
0.1754873,1.1742,321024
0.1766615,1.3095,321024
0.177971,1.1274,321024
0.1790984,1.1948,321024
0.1802932,1.1443,321024
0.1814375,1.1459,321024
0.1825834,1.1166,321024
0.1837,1.2084,321024
0.1849084,1.1487,321024
0.1860571,1.1308,321024
0.1871879,1.1686,322748
0.1883565,1.1486,322748
0.1895051,1.1657,322748
0.1906708,1.1911,322748
0.1918619,1.203,322748
0.1930649,1.1495,322748
0.1942144,1.1538,322748
0.1953682,1.1476,322748
0.1965158,1.3023,322748
0.1978181,1.1709,322748
0.198989,1.2814,322748
0.2002704,1.1517,322748
0.2014221,1.1316,322748
0.2025537,1.1695,322748
0.2037232,1.1484,322748
0.2048716,1.2853,322748
0.2061569,1.3757,322748
0.2075326,1.2677,322748
0.2088003,1.2229,322748
0.2100232,1.1635,322748
0.2111867,1.1339,322748
0.2123206,1.1801,322748
0.2135007,1.4411,322748
0.2149418,1.1808,322748
0.2161226,1.1288,322748
0.2172514,1.288,322748
0.2185394,1.2882,322748
0.2198276,1.2457,322748
0.2210733,1.1834,322748
0.2222567,1.1499,322748
0.2234066,1.1848,322748
0.2245914,1.1882,321926
0.2257796,1.2016,321926
0.2269812,1.1438,321926
0.228125,1.1453,321926
0.2292703,1.2691,321926
0.2305394,1.148,321926
0.2316874,1.1249,321926
0.2328123,1.307,321926
0.2341193,1.2363,321926
0.2353556,1.1711,321926
0.2365267,1.37,321926
0.2378967,1.1414,321926
0.2390381,1.1211,321926
0.2401592,1.2847,321926
0.2414439,1.3133,321926
0.2427572,1.1611,321926
0.2439183,1.1699,321926
0.2450882,1.158,321926
0.2462462,1.1446,321926
0.2473908,1.1296,321926
0.2485204,1.1411,321926
0.2496615,1.1901,321926
0.2508516,1.1556,321926
0.2520072,1.1824,321926
0.2531896,1.1775,321926
0.2543671,1.1905,321926
0.2555576,1.1568,321926
0.2567144,1.3149,321926
0.2580293,1.142,321926
0.2591713,1.1576,321926
0.2603289,1.1819,321926
0.2615108,1.1943,321926
0.2627051,1.1344,321926
0.2638395,1.1502,321926
0.2649897,1.3873,321926
0.266377,1.2062,323284
0.2675832,1.3394,323284
0.2689226,1.2494,323284
0.270172,1.1486,323284
0.2713206,1.1493,323284
0.2724699,1.1361,323284
0.273606,1.1318,323284
0.2747378,1.2155,323284
0.2759533,1.2036,323284
0.2771569,1.3684,323284
0.2785253,1.1607,323284
0.279686,1.2383,323284
0.2809243,8.1661,323284
0.2890904,1.3477,323284
0.2904381,1.1902,323284
0.2916283,1.1389,323284
0.2927672,1.1533,323284
0.2939205,1.141,323284
0.2950615,1.1656,323284
0.2962271,1.4929,323284
0.29772,1.3431,323284
0.2990631,1.1736,323284
0.3002366,1.1363,323284
0.3013729,1.148,323284
0.3025209,1.1703,323284
0.3036912,1.2613,323284
0.3049525,1.156,323284
0.3061085,1.1519,323284
0.3072604,1.1469,323284
0.3084073,1.1331,323284
0.3095405,1.1749,323284
0.3107153,1.1674,323284
0.3118827,1.1387,323284
0.3130214,1.1358,323284
0.3141572,1.2004,323284
0.3153576,4.5548,323284
0.3199124,5.0464,323284
0.3249588,1.2899,323284
0.3262487,1.167,323284
0.3274157,1.1434,323284
0.3285591,1.1323,323284
0.3296914,1.3984,323284
0.3310899,2.8028,323284
0.3338926,1.2879,323284
0.3351806,1.1977,323284
0.3363782,1.1714,323284
0.3375497,2.2788,248248
0.3398285,1.216,248248
0.3410445,1.1855,248248
0.34223,1.186,248248
0.343416,1.2087,249598
0.3446247,1.2819,249598
0.3459066,1.1949,249598
0.3471014,1.1848,249598
0.3482862,1.1833,249598
0.3494695,1.1689,249598
0.3506384,1.2057,249598
0.3518442,1.2048,249598
0.353049,1.1951,249598
0.3542441,1.2049,249598
0.355449,1.1833,249598
0.3566323,1.3709,249598
0.3580032,1.1846,249598
0.3591878,1.2423,249598
0.3604301,1.2072,249598
0.3616373,1.1733,249598
0.3628106,1.1963,249598
0.3640069,1.2338,249598
0.3652407,1.2887,249598
0.3665294,1.2487,249598
0.3677781,1.2246,249598
0.3690027,1.2027,249598
0.3702054,1.2663,249598
0.3714717,1.2704,249598
0.3727421,1.302,249598
0.3740441,1.4069,249598
0.375451,1.403,249598
0.376854,1.4006,249598
0.3782546,1.198,249598
0.3794526,1.1881,249598
0.3806407,1.1886,249598
0.3818293,1.2082,249598
0.3830375,1.1819,249598
0.3842194,1.2149,249598
0.3854343,1.2149,249598
0.3866492,1.2216,249598
0.3878708,1.2095,249598
0.3890803,1.1845,249598
0.3902647,1.1809,249598
0.3914456,1.2142,249598
0.3926598,1.333,249598
0.3939928,1.2085,249598
0.3952014,1.2021,249598
0.3964035,1.3703,249598
0.3977738,1.2512,249598
0.399025,1.8519,249598
0.4008768,1.3543,249598
0.4022312,1.535,249598
0.4037662,1.5606,249598
0.4053268,1.2377,249598
0.4065644,1.3116,249598
0.407876,1.2693,249598
0.4091454,1.1845,249598
0.4103298,1.208,249598
0.4115379,1.2293,249598
0.4127671,1.2045,249598
0.4139716,1.1841,249598
0.4151557,1.2109,249598
0.4163666,1.1996,249598
0.4175662,1.6302,249598
0.4191964,1.3867,249598
0.4205831,1.2433,249598
0.4218264,1.2114,249598
0.4230378,1.1968,249598
0.4242346,1.2902,249598
0.4255248,1.6114,249598
0.4271362,1.4415,249598
0.4285778,1.2157,249598
0.4297934,1.4438,249598
0.4312373,10.0545,249598
0.4412917,3.0694,249598
0.4443612,1.1724,249598
0.4455335,1.1223,249598
0.4466558,1.1261,249598
0.447782,1.1532,249598
0.4489352,1.1793,249598
0.4501145,1.1981,249598
0.4513126,1.2328,249598
0.4525454,1.3929,249598
0.4539383,1.3465,249598
0.4552848,1.1894,249598
0.4564742,1.3122,249598
0.4577864,1.1189,249598
0.4589053,1.1125,249598
0.4600178,1.1078,249598
0.4611256,1.1153,249598
0.4622409,1.1651,249598
0.463406,1.2449,249598
0.4646509,1.1203,249598
0.4657712,1.1207,249598
0.4668919,1.1301,249598
0.468022,1.1729,249598
0.4691949,1.1912,249598
0.4703861,1.1827,249598
0.4715688,1.1683,249598
0.4727371,1.6179,249598
0.474355,1.1665,249598
0.4755215,1.1608,249598
0.4766823,1.3317,249598
0.478014,1.2119,249598
0.4792259,1.1283,249598
0.4803542,1.1305,249598
0.4814847,1.1111,249598
0.4825957,1.1467,249598
0.4837424,1.1683,249598
0.4849108,1.1616,249598
0.4860724,1.4166,249598
0.487489,1.2032,249598
0.4886922,1.4178,249598
0.49011,1.1752,249598
0.4912851,1.2966,249598
0.4925818,1.1606,249598
0.4937423,1.1392,249598
0.4948815,1.1303,249598
0.4960119,1.144,249598
0.4971558,1.5543,249598
0.4987102,1.1648,249598
0.4998749,1.1521,249598
0.501027,1.1158,249598
0.5021428,1.147,249598
0.5032898,1.2005,249598
0.5044903,1.3806,249598
0.5058709,1.5486,249598
0.5074195,1.1515,249598
0.508571,1.2392,249598
0.5098102,1.1081,249598
0.5109183,1.161,249598
0.5120793,1.1537,249598
0.513233,1.3721,249598
0.5146051,1.1275,249598
0.5157326,1.1699,249598
0.5169025,1.3109,249598
0.5182134,1.2257,249598
0.5194391,1.1429,247728
0.520582,1.1833,247728
0.5217653,1.1072,247728
0.5228725,1.1049,247728
0.5239774,1.1265,247728
0.5251039,1.6453,247728
0.5267493,1.1506,247728
0.5278999,1.1347,247728
0.5290346,1.1129,247728
0.5301474,1.1158,247728
0.5312632,1.2937,247728
0.532557,1.4471,247728
0.534004,1.2697,247728
0.5352737,1.156,247728
0.5364297,1.33,247728
0.5377597,1.1647,247728
0.5389244,1.1746,247728
0.540099,1.1222,247728
0.5412212,1.1678,247728
0.542389,1.1141,247728
0.543503,1.1072,247728
0.5446103,4.3444,247728
0.5489547,5.2372,247728
0.5541919,1.1787,247728
0.5553706,1.1043,247728
0.5564749,1.3018,247728
0.5577767,1.1309,247728
0.5589076,1.4672,247728
0.5603748,1.2187,247728
0.5615935,1.1732,247728
0.5627667,1.2224,247728
0.563989,1.1062,247728
0.5650952,1.1058,247728
0.566201,1.3402,247728
0.5675412,1.1613,247728
0.5687025,1.1468,247728
0.5698493,1.1952,246696
0.5710445,1.1343,246696
0.5721788,1.1344,246696
0.5733132,1.5166,246696
0.5748298,1.5367,246696
0.5763665,1.6101,246696
0.5779766,1.3648,246696
0.5793414,1.1091,246696
0.5804505,1.2655,246696
0.5817161,8.0418,246696
0.5897579,1.1766,246696
0.5909345,1.1346,246696
0.592069,1.1133,246696
0.5931823,1.1504,246696
0.5943328,1.4173,246696
0.59575,1.1925,246696
0.5969425,1.3185,246696
0.5982611,1.1211,246696
0.5993822,1.1174,246696
0.6004996,1.1048,246696
0.6016043,1.1842,246696
0.6027886,1.1202,246696
0.6039088,1.1325,246696
0.6050413,1.1194,246696
0.6061606,1.1654,246696
0.607326,4.4279,246696
0.6117539,1.2543,246696
0.6130083,1.3291,246696
0.6143374,1.2337,246696
0.6155711,1.1337,246696
0.6167048,1.2869,246696
0.6179917,1.4192,246696
0.6194109,1.1447,246696
0.6205556,1.1292,246696
0.6216848,1.2628,246696
0.6229476,1.5358,246696
0.6244833,1.6169,246696
0.6261002,1.2519,246696
0.6273521,1.1861,246696
0.6285382,1.2963,246696
0.6298345,1.5629,246696
0.6313974,1.1608,246696
0.6325582,1.1221,246696
0.6336803,1.1634,246696
0.6348437,1.1792,246696
0.6360229,1.532,246696
0.6375549,1.3866,246696
0.6389415,1.1556,246696
0.6400971,1.1673,246696
0.6412644,1.1636,246696
0.642428,1.5348,246696
0.6439629,1.1983,246696
0.6451612,1.1389,246696
0.6463001,1.5099,246696
0.64781,1.1736,246696
0.6489836,1.1839,246696
0.6501675,1.1276,246696
0.6512951,1.1639,246696
0.652459,1.322,246696
0.653781,1.415,246696
0.655196,1.3536,246696
0.6565496,1.4325,246696
0.6579821,1.1415,246696
0.6591236,1.1351,246696
0.6602587,1.1421,246696
0.6614008,1.1194,246696
0.6625202,1.1262,246696
0.6636463,1.223,246696
0.6648694,1.1435,246696
0.6660129,5.1418,246696
0.6711547,5.19,246696
0.6763447,5.384,246696
0.6817287,4.4231,246696
0.6861518,1.3108,246696
0.6874626,1.1891,246696
0.6886517,1.1103,246696
0.6897621,1.1355,246696
0.6908976,1.1955,246696
0.6920931,1.2778,246696
0.6933709,1.4389,246696
0.6948098,1.2365,246696
0.6960463,1.3486,246696
0.6973949,1.3709,246696
0.6987658,1.2482,246696
0.700014,2.9603,247610
0.7029743,2.3056,255554
0.7052799,2.0201,263730
0.7073001,2.1712,265130
0.7094713,2.0092,266874
0.7114805,2.7227,268714
0.7142032,2.1656,284234
0.7163688,2.263,291042
0.7186318,2.644,294786
0.7212758,2.2942,303858
0.72357,2.2594,313678
0.7258294,2.2884,323058
0.7281178,3.4171,334170
0.7315348,2.8273,342918
0.7343621,11.8589,350878
0.746221,5.1341,365832
0.7513551,2.8699,388932
0.754225,1.8974,406356
0.7561224,2.6567,406356
0.7587791,2.0299,408112
0.760809,2.408,409274
0.763217,2.2602,418130
0.7654772,2.0502,419828
0.7675275,1.9309,422416
0.7694584,1.9014,422416
0.7713597,1.987,423422
0.7733467,2.0666,424804
0.7754133,2.1538,427428
0.7775671,2.0823,427428
0.7796494,5.0064,428344
0.7846558,2.0646,429930
0.7867204,1.785,430798
0.7885054,1.9491,430798
0.7904544,2.0883,430798
0.7925428,1.8576,432186
0.7944003,1.3997,432958
0.7958,1.3135,432958
0.7971135,1.4547,432958
0.7985682,1.231,432958
0.7997993,1.2539,432958
0.8010532,1.2312,432958
0.8022844,1.2785,432958
0.8035629,1.3179,432958
0.8048808,1.264,432958
0.8061448,1.2815,432958
0.8074263,1.2765,432958
0.8087028,1.2543,432958
0.8099571,1.3223,432958
0.8112794,1.2808,432958
0.8125602,1.2391,432958
0.8137993,1.2634,432958
0.8150627,1.2565,432958
0.8163192,1.2587,432958
0.8175779,1.4362,432958
0.8190141,1.23,432958
0.8202441,1.2817,432958
0.8215258,1.2326,432958
0.8227584,1.3153,432958
0.8240737,1.3281,432958
0.8254018,1.3499,432958
0.8267517,1.2534,432958
0.8280051,1.2269,432958
0.829232,1.4612,432958
0.8306932,1.5715,432958
0.8322647,1.2463,432958
0.833511,1.2769,432958
0.8347879,1.253,432958
0.8360409,1.2327,432958
0.8372736,1.5141,432958
0.8387877,1.2557,432958
0.8400434,1.2328,432958
0.8412762,1.2633,432958
0.8425395,1.2615,432958
0.843801,1.2638,432958
0.8450648,1.2961,432958
0.8463609,1.2436,432958
0.8476045,1.2339,432958
0.8488383,1.2421,432958
0.8500804,1.2359,432958
0.8513163,1.2709,432958
0.8525872,1.2492,432958
0.8538364,1.2275,432958
0.8550639,1.2317,432958
0.8562956,1.3185,432958
0.8576141,1.8224,432958
0.8594365,1.3544,432958
0.8607909,1.2558,432958
0.8620467,1.2914,432958
0.8633381,1.2653,432958
0.8646034,1.2753,432958
0.8658787,1.35,432958
0.8672287,1.2545,432958
0.8684832,1.2426,432958
0.8697258,1.2579,432958
0.8709837,1.2377,432958
0.8722214,1.334,432958
0.8735554,1.2564,432958
0.8748118,1.2387,432958
0.8760505,1.2597,432958
0.8773102,1.4325,432958
0.8787426,1.4035,432958
0.8801461,1.2768,432958
0.8814229,1.2409,432958
0.8826638,1.3036,432958
0.8839675,1.4897,432958
0.8854572,10.2446,432958
0.8957018,3.0214,432958
0.8987232,1.4063,432958
0.9001295,1.2399,432958
0.9013694,1.1858,432958
0.9025552,1.2116,432958
0.9037668,1.1839,432958
0.9049507,1.2289,432958
0.9061796,1.1664,432958
0.907346,1.2227,432958
0.9085687,1.2055,432958
0.9097742,1.1847,432958
0.9109589,1.1595,432958
0.9121184,1.2217,432958
0.9133402,1.1862,432958
0.9145263,1.1828,432958
0.9157091,1.1993,432958
0.9169084,1.3561,432958
0.9182646,1.2249,432958
0.9194894,1.1625,432958
0.920652,1.1751,432958
0.9218271,1.1718,432958
0.9229989,1.1711,432958
0.92417,1.2129,432958
0.9253829,1.1522,432958
0.9265351,1.1713,432958
0.9277064,1.4278,432958
0.9291342,1.2397,432958
0.930374,1.1615,432958
0.9315355,1.1642,432958
0.9326997,1.1555,432958
0.9338552,1.2139,432958
0.9350691,1.3003,432958
0.9363694,1.2015,432958
0.9375709,1.4379,432958
0.9390088,1.172,432958
0.9401808,1.1547,432958
0.9413355,1.6377,432958
0.9429732,1.3415,432958
0.9443147,1.1741,432958
0.9454888,1.1624,432958
0.9466512,1.1673,432958
0.9478185,1.1899,432958
0.9490084,1.2568,432958
0.9502652,1.2806,432958
0.9515458,1.1672,432958
0.952713,1.1564,432958
0.9538694,1.1582,432958
0.9550276,1.1748,432958
0.9562024,1.1955,432958
0.9573979,1.3317,432958
0.9587296,1.2252,432958
0.9599547,1.1799,432958
0.9611346,1.1483,432958
0.9622829,1.1982,432958
0.9634811,1.1745,432958
0.9646556,1.1914,432958
0.965847,1.2125,432958
0.9670594,1.1636,432958
0.968223,1.1581,432958
0.9693812,1.1926,432958
0.9705738,1.2318,432958
0.9718056,1.1639,432958
0.9729695,1.1673,432958
0.9741368,1.2279,432958
0.9753647,1.1719,432958
0.9765366,1.4286,432958
0.9779652,1.2049,432958
0.9791701,1.1672,432958
0.9803373,1.1721,432958
0.9815094,1.1874,432958
0.9826968,1.1796,432958
0.9838763,1.1985,432958
0.9850748,1.4906,434414
0.9865654,1.3129,434414
0.9878783,1.1573,434414
0.9890356,1.1546,434414
0.9901902,1.4431,434414
0.9916333,1.41,433498
0.9930433,1.1952,433498
0.9942385,1.1567,433498
0.9953952,1.2008,433498
0.996596,1.4592,433498
0.9980552,1.2962,433498
